lat,lon,hour,dayofweek,is_weekend,is_off_hours,km_travelled,km_per_hour,country_changed,resource_changed,device_changed,is_new_device_for_user,is_untrusted_device,mfa_false,result_failure,role_contractor,role_employee,action_login,action_logout,country_IN,country_SG,country_UK,country_US,resource_email,resource_finance_app,resource_hr_portal,resource_vpn,is_anomaly
37.77,-122.41,3,4,0,1,0.0,0.0,1,1,1,1,1,1,0,True,False,True,False,False,False,False,True,True,False,False,False,1
51.5,-0.12,12,4,0,0,8617.413579531496,917.6138454304715,1,1,1,1,0,0,0,False,True,False,False,False,False,True,False,False,False,False,True,0
51.5,-0.12,12,4,0,0,0.0,0.0,0,1,1,1,0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,0
1.35,103.82,12,4,0,0,10847.683830031905,20000.0,1,1,1,1,0,1,0,False,True,False,False,False,True,False,False,False,True,False,False,0
37.77,-122.41,13,4,0,0,13583.243126192967,20000.0,1,1,1,1,0,0,0,False,True,False,False,False,False,False,True,True,False,False,False,0
51.5,-0.12,13,4,0,0,8617.413579531496,20000.0,1,1,1,1,0,1,0,True,False,False,False,False,False,True,False,False,False,False,True,0
19.07,72.87,13,4,0,0,7191.114210511749,20000.0,1,0,1,1,1,0,0,False,True,True,False,True,False,False,False,False,False,False,True,0
19.07,72.87,13,4,0,0,0.0,0.0,0,1,1,1,0,1,0,False,True,False,True,True,False,False,False,False,True,False,False,0
52.52,13.4,13,4,0,0,6286.49014548584,20000.0,1,1,1,1,0,0,0,False,True,False,True,False,False,False,False,True,False,False,False,0
1.35,103.82,13,4,0,0,9916.835913716,20000.0,1,1,1,1,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,0
19.07,72.87,14,4,0,0,3904.3449234062364,6927.373940001208,1,1,1,0,0,0,0,False,True,False,True,True,False,False,False,False,True,False,False,0
19.07,72.87,14,4,0,0,0.0,0.0,0,1,1,1,0,0,0,False,True,False,False,True,False,False,False,True,False,False,False,0
52.52,13.4,15,4,0,0,6286.49014548584,14350.89697130566,1,0,1,1,0,0,0,True,False,True,False,False,False,False,False,True,False,False,False,0
51.5,-0.12,15,4,0,0,930.8785347807835,20000.0,1,1,1,1,0,0,0,False,True,False,True,False,False,True,False,False,False,True,False,0
51.5,-0.12,15,4,0,0,0.0,0.0,0,1,1,1,0,1,0,True,False,False,True,False,False,True,False,True,False,False,False,0
37.77,-122.41,16,4,0,0,8617.413579531496,20000.0,1,1,1,1,1,0,0,False,False,True,False,False,False,False,True,False,True,False,False,0
19.07,72.87,16,4,0,0,13495.773653008306,20000.0,1,1,1,1,0,0,0,False,True,False,True,True,False,False,False,False,False,True,False,0
52.52,13.4,16,4,0,0,6286.49014548584,17041.690153425472,1,1,1,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,0
1.35,103.82,16,4,0,0,9916.835913716,20000.0,1,1,1,1,0,0,0,False,True,True,False,False,True,False,False,False,True,False,False,0
1.35,103.82,16,4,0,0,0.0,0.0,0,0,1,1,0,0,0,False,True,True,False,False,True,False,False,False,True,False,False,0
52.52,13.4,16,4,0,0,9916.835913716,20000.0,1,1,1,0,0,0,0,False,True,False,True,False,False,False,False,False,False,True,False,0
51.5,-0.12,16,4,0,0,930.8785347807835,15232.557841867367,1,1,1,1,0,1,0,True,False,False,False,False,False,True,False,False,False,False,True,0
19.07,72.87,16,4,0,0,7191.114210511749,20000.0,1,0,0,0,0,1,0,False,True,False,True,True,False,False,False,False,False,False,True,0
52.52,13.4,16,4,0,0,6286.49014548584,20000.0,1,1,1,1,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,0
1.35,103.82,16,4,0,0,9916.835913716,20000.0,1,1,1,1,0,0,0,False,True,False,True,False,True,False,False,False,True,False,False,0
1.35,103.82,17,4,0,0,0.0,0.0,0,1,1,1,0,0,0,False,True,False,False,False,True,False,False,False,False,True,False,0
1.35,103.82,17,4,0,0,0.0,0.0,0,1,1,1,0,0,0,False,True,False,False,False,True,False,False,False,True,False,False,0
51.5,-0.12,17,4,0,0,10847.683830031905,20000.0,1,1,1,1,0,0,0,False,True,True,False,False,False,True,False,False,False,True,False,0
37.77,-122.41,17,4,0,0,8617.413579531496,20000.0,1,1,1,0,0,0,0,False,True,True,False,False,False,False,True,False,True,False,False,0
52.52,13.4,17,4,0,0,9105.156011748604,20000.0,1,0,1,1,0,1,0,False,True,False,True,False,False,False,False,False,True,False,False,0
19.07,72.87,18,4,0,0,6286.49014548584,6725.516946136411,1,1,1,0,0,0,0,True,False,False,True,True,False,False,False,True,False,False,False,0
51.5,-0.12,18,4,0,0,7191.114210511749,20000.0,1,1,1,1,0,0,0,False,True,False,False,False,False,True,False,False,True,False,False,0
37.77,-122.41,19,4,0,0,8617.413579531496,19963.120261462926,1,1,1,1,0,1,0,True,False,False,True,False,False,False,True,False,False,False,True,0
1.35,103.82,19,4,0,0,13583.243126192967,20000.0,1,0,1,1,0,1,0,False,True,False,True,False,True,False,False,False,False,False,True,0
